Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);Parking
729000;28/03/2020;Mokotów, Warszawa;Właściciel;Mieszkanie;3 pokoje;1 łazienka;73;Garaż
687000;06/03/2020;Ursynów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;60;Garaż
600000;15/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;58;Garaż
570000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;
484000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;46;
624000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;;60;
895000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;76;
620000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;;57;
850000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;39;Ulica
560000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;
840000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;;77;
670000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;4 pokoje;;88;
1790000;22/04/2020;Białołęka, Warszawa;Agencja;Dom;6 lub więcej pokoi;;240;
550000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;
799000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;4 pokoje;;87;
565000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;47;
575000;24/10/2019;Praga Południe, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;44;Brak
385000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;36;
1160000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;83;
1499000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;4 pokoje;;95;
369000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;;32;
355000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;44;
420000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;2 pokoje;;35;
689000;30/03/2020;Ursus, Warszawa;Właściciel;Mieszkanie;4 pokoje;2 łazienki;85;Garaż
519000;30/03/2020;Targówek, Warszawa;Właściciel;Mieszkanie;3 pokoje;;55;
550000;24/03/2020;Bielany, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;35;Brak
459000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;55;
1410000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;4 pokoje;;142;
399000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;2 pokoje;;38;
1050000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;4 pokoje;;122;
385000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;48;
899000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;110;
990000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;6 lub więcej pokoi;;236;
2200000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;5 pokoi;;129;
359224;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;22;
445000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;64;
465000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;;45;
620000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;65;
475000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;51;
560000;22/04/2020;Wawer, Warszawa;Agencja;Dom;4 pokoje;2 łazienki;100;Garaż
1510000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;3 pokoje;;110;
638000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;64;
1650000;22/04/2020;Ursynów, Warszawa;Agencja;Dom;5 pokoi;4 lub więcej łazienek;190;
2900000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;63;
980000;22/04/2020;Wilanów, Warszawa;Agencja;Dom;4 pokoje;;180;
1900000;22/04/2020;Wilanów, Warszawa;Agencja;Dom;Kawalerka lub garsoniera;;366;
589000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;2 pokoje;;42;
649000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;74;
460000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;58;
1499000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;88;
910800;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;92;
610000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;67;
489000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;37;
399000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;30;
930000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;80;
930000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;4 pokoje;;120;
560000;22/04/2020;Mokotów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;52;
770000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;68;Ulica
370000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;25;
865000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;4 pokoje;;92;
555000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;49;
1659000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;103;
941825;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
1200000;26/03/2020;Żoliborz, Warszawa;Właściciel;Mieszkanie;3 pokoje;2 łazienki;89;Garaż
449999;02/04/2020;Wola, Warszawa;Właściciel;;2 pokoje;1 łazienka;31;
962750;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
520000;22/04/2020;Wawer, Warszawa;Agencja;Mieszkanie;3 pokoje;;72;
639000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;2 pokoje;2 łazienki;58;Ulica
629000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;81;
1049760;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
693164;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
817301;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;59;
638764;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;51;
850000;22/04/2020;Białołęka, Warszawa;Agencja;Dom;4 pokoje;2 łazienki;121;
1949000;22/04/2020;Wola, Warszawa;Agencja;Dom;5 pokoi;2 łazienki;190;
238234;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;26;
340010;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;
601000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;73;
569000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;70;
521700;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;72;
339524;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
780000;22/04/2020;Włochy, Warszawa;Agencja;Mieszkanie;5 pokoi;;97;
480000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;21;
410000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;66;
699000;07/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;73;Garaż
1990000;09/12/2019;Białołęka, Warszawa;Właściciel;Dom;6 lub więcej pokoi;4 lub więcej łazienek;447;Garaż
569000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;48;
640000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;4 pokoje;;78;
2800000;22/04/2020;Wawer, Warszawa;Agencja;Dom;6 lub więcej pokoi;;410;
690000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
839000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;5 pokoi;;108;
580000;22/04/2020;Wola, Warszawa;Agencja;;Kawalerka lub garsoniera;;50;
1195000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;83;
780000;22/04/2020;Wola, Warszawa;Agencja;;2 pokoje;;60;
988000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;56;
899000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;51;
6800000;22/04/2020;Bemowo, Warszawa;Agencja;Dom;6 lub więcej pokoi;;420;
796000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
1580000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;81;
590000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
530000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;54;Ulica
449000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;42;
569000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;
2300000;12/02/2020;Praga Południe, Warszawa;Właściciel;Inne;;;500;
925000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;5 pokoi;;118;
1700000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;4 pokoje;2 łazienki;159;
700000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
680000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;43;
920000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;78;
922000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
1100000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;85;
468000;22/04/2020;Mokotów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;48;
1055000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;105;Garaż
1309000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;155;
1230000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;67;
1305000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;62;
999000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;52;
805800;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;65;
793000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;53;
735000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;4 pokoje;;85;
917000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;;94;
